Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Read blend: "/home/nicklee/Phenix_Project/Drone/environments/villa_v1/renders/assets_equipment/equipment_smoke.blend"
Fra:1 Mem:247.95M (Peak 247.95M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Raised sculpted lid
Fra:1 Mem:247.94M (Peak 247.95M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Lid prop
Fra:1 Mem:247.96M (Peak 247.96M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Keyboard bed
Fra:1 Mem:247.97M (Peak 247.97M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key
Fra:1 Mem:248.11M (Peak 248.11M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key
Fra:1 Mem:248.23M (Peak 248.23M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.001
Fra:1 Mem:248.26M (Peak 248.26M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.001
Fra:1 Mem:248.24M (Peak 248.26M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.002
Fra:1 Mem:248.28M (Peak 248.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.002
Fra:1 Mem:248.26M (Peak 248.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.003
Fra:1 Mem:248.30M (Peak 248.30M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.005
Fra:1 Mem:248.31M (Peak 248.31M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.004
Fra:1 Mem:248.46M (Peak 248.46M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.006
Fra:1 Mem:248.34M (Peak 248.46M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.007
Fra:1 Mem:248.40M (Peak 248.46M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | power_rack_label
Fra:1 Mem:248.49M (Peak 248.49M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.008
Fra:1 Mem:248.48M (Peak 248.49M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.006
Fra:1 Mem:248.50M (Peak 248.50M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.009
Fra:1 Mem:248.53M (Peak 248.53M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.010
Fra:1 Mem:248.62M (Peak 248.62M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.011
Fra:1 Mem:248.70M (Peak 248.70M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.008
Fra:1 Mem:248.70M (Peak 248.70M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.012
Fra:1 Mem:248.74M (Peak 248.74M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.013
Fra:1 Mem:248.73M (Peak 248.74M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.014
Fra:1 Mem:248.78M (Peak 248.78M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.015
Fra:1 Mem:248.76M (Peak 248.78M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.011
Fra:1 Mem:248.83M (Peak 248.83M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.017
Fra:1 Mem:248.82M (Peak 248.83M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.018
Fra:1 Mem:248.83M (Peak 248.83M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.013
Fra:1 Mem:248.87M (Peak 248.87M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_D handle
Fra:1 Mem:248.93M (Peak 248.93M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.019
Fra:1 Mem:248.98M (Peak 248.98M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.014
Fra:1 Mem:249.04M (Peak 249.04M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.020
Fra:1 Mem:249.03M (Peak 249.04M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.015
Fra:1 Mem:249.05M (Peak 249.05M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.022
Fra:1 Mem:249.08M (Peak 249.08M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.016
Fra:1 Mem:249.10M (Peak 249.10M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.023
Fra:1 Mem:249.15M (Peak 249.15M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.024
Fra:1 Mem:249.16M (Peak 249.16M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.017
Fra:1 Mem:249.17M (Peak 249.17M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.025
Fra:1 Mem:249.19M (Peak 249.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.018
Fra:1 Mem:249.23M (Peak 249.23M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.026
Fra:1 Mem:249.20M (Peak 249.23M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.027
Fra:1 Mem:249.23M (Peak 249.23M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.019
Fra:1 Mem:249.24M (Peak 249.24M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_Continuous tension cable.001
Fra:1 Mem:249.35M (Peak 249.35M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_D handle.001
Fra:1 Mem:249.36M (Peak 249.36M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 04_cable_machine_Wide grip pullup
Fra:1 Mem:249.39M (Peak 249.39M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.020
Fra:1 Mem:249.41M (Peak 249.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cable_machine_label
Fra:1 Mem:249.53M (Peak 249.53M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.029
Fra:1 Mem:249.51M (Peak 249.53M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.031
Fra:1 Mem:249.56M (Peak 249.56M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.022
Fra:1 Mem:249.57M (Peak 249.57M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.032
Fra:1 Mem:249.61M (Peak 249.61M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.023
Fra:1 Mem:249.66M (Peak 249.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.033
Fra:1 Mem:249.68M (Peak 249.68M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.024
Fra:1 Mem:249.72M (Peak 249.72M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.034
Fra:1 Mem:249.76M (Peak 249.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.036
Fra:1 Mem:249.72M (Peak 249.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.026
Fra:1 Mem:249.75M (Peak 249.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.037
Fra:1 Mem:249.81M (Peak 249.81M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.038
Fra:1 Mem:249.98M (Peak 249.98M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.027
Fra:1 Mem:250.00M (Peak 250.00M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.039
Fra:1 Mem:250.03M (Peak 250.03M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.028
Fra:1 Mem:250.03M (Peak 250.03M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.040
Fra:1 Mem:250.10M (Peak 250.10M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.029
Fra:1 Mem:250.10M (Peak 250.10M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.041
Fra:1 Mem:250.11M (Peak 250.11M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.043
