Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:251.31M (Peak 251.31M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Cast iron harp strut.001
Fra:1 Mem:251.31M (Peak 251.31M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Raised sculpted lid
Fra:1 Mem:251.30M (Peak 251.31M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Lid prop
Fra:1 Mem:251.34M (Peak 251.34M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Keyboard bed
Fra:1 Mem:251.62M (Peak 251.62M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key
Fra:1 Mem:251.70M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key
Fra:1 Mem:251.65M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.001
Fra:1 Mem:251.70M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.001
Fra:1 Mem:251.66M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.002
Fra:1 Mem:251.68M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.004
Fra:1 Mem:251.70M (Peak 251.70M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.003
Fra:1 Mem:251.73M (Peak 251.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.005
Fra:1 Mem:251.75M (Peak 251.75M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.004
Fra:1 Mem:251.96M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.006
Fra:1 Mem:251.80M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.007
Fra:1 Mem:251.86M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.005
Fra:1 Mem:251.88M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.008
Fra:1 Mem:251.87M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.009
Fra:1 Mem:251.90M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.006
Fra:1 Mem:251.93M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.010
Fra:1 Mem:251.97M (Peak 251.96M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.007
Fra:1 Mem:251.97M (Peak 251.97M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.011
Fra:1 Mem:251.99M (Peak 251.99M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.012
Fra:1 Mem:252.09M (Peak 252.09M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.009
Fra:1 Mem:252.13M (Peak 252.13M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.013
Fra:1 Mem:252.13M (Peak 252.13M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.014
Fra:1 Mem:252.15M (Peak 252.15M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.015
Fra:1 Mem:252.13M (Peak 252.15M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.011
Fra:1 Mem:252.16M (Peak 252.16M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.017
Fra:1 Mem:252.26M (Peak 252.26M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.012
Fra:1 Mem:252.22M (Peak 252.26M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.018
Fra:1 Mem:252.28M (Peak 252.28M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.013
Fra:1 Mem:252.28M (Peak 252.28M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.019
Fra:1 Mem:252.37M (Peak 252.37M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.014
Fra:1 Mem:252.41M (Peak 252.41M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.020
Fra:1 Mem:252.44M (Peak 252.44M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.015
Fra:1 Mem:252.53M (Peak 252.53M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.022
Fra:1 Mem:252.55M (Peak 252.55M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.016
Fra:1 Mem:252.58M (Peak 252.58M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.023
Fra:1 Mem:252.63M (Peak 252.63M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.024
Fra:1 Mem:252.62M (Peak 252.63M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.018
Fra:1 Mem:252.63M (Peak 252.63M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.026
Fra:1 Mem:252.63M (Peak 252.63M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.019
Fra:1 Mem:252.65M (Peak 252.65M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.027
Fra:1 Mem:252.76M (Peak 252.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.028
Fra:1 Mem:252.80M (Peak 252.78M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.020
Fra:1 Mem:252.82M (Peak 252.82M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.029
Fra:1 Mem:252.84M (Peak 252.84M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.030
Fra:1 Mem:252.88M (Peak 252.88M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.031
Fra:1 Mem:252.85M (Peak 252.88M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.032
Fra:1 Mem:252.89M (Peak 252.89M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.023
Fra:1 Mem:252.91M (Peak 252.91M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.033
Fra:1 Mem:252.94M (Peak 252.94M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.024
Fra:1 Mem:252.95M (Peak 252.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.034
Fra:1 Mem:253.08M (Peak 253.08M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.035
Fra:1 Mem:253.08M (Peak 253.08M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.036
Fra:1 Mem:253.05M (Peak 253.08M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.026
Fra:1 Mem:253.08M (Peak 253.08M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.037
Fra:1 Mem:253.12M (Peak 253.12M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.038
Fra:1 Mem:253.15M (Peak 253.15M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.027
Fra:1 Mem:253.20M (Peak 253.20M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.039
Fra:1 Mem:253.26M (Peak 253.26M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.028
Fra:1 Mem:253.27M (Peak 253.27M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.040
Fra:1 Mem:253.29M (Peak 253.29M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.029
