Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:81.59M (Peak 81.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.008
Fra:1 Mem:81.64M (Peak 81.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.003
Fra:1 Mem:81.65M (Peak 81.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.010
Fra:1 Mem:81.70M (Peak 81.70M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.009
Fra:1 Mem:81.75M (Peak 81.75M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.011
Fra:1 Mem:81.81M (Peak 81.81M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.010
Fra:1 Mem:81.89M (Peak 81.89M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.010
Fra:1 Mem:81.93M (Peak 81.93M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.012
Fra:1 Mem:82.00M (Peak 82.00M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.004
Fra:1 Mem:81.99M (Peak 82.00M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.013
Fra:1 Mem:82.03M (Peak 82.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.003
Fra:1 Mem:82.04M (Peak 82.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.014
Fra:1 Mem:82.09M (Peak 82.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.012
Fra:1 Mem:82.08M (Peak 82.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Display_plinth.002
Fra:1 Mem:82.09M (Peak 82.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.004
Fra:1 Mem:82.14M (Peak 82.14M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.015
Fra:1 Mem:82.14M (Peak 82.14M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.013
Fra:1 Mem:82.20M (Peak 82.20M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.004
Fra:1 Mem:82.27M (Peak 82.27M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.013
Fra:1 Mem:82.29M (Peak 82.29M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.005
Fra:1 Mem:82.37M (Peak 82.37M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.016
Fra:1 Mem:82.38M (Peak 82.38M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.014
Fra:1 Mem:82.42M (Peak 82.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.017
Fra:1 Mem:82.47M (Peak 82.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.015
Fra:1 Mem:82.46M (Peak 82.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.018
Fra:1 Mem:82.46M (Peak 82.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.006
Fra:1 Mem:82.65M (Peak 82.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.016
Fra:1 Mem:82.67M (Peak 82.67M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.019
